transport,intervention_family,feature_id,lexicon,n_templates,mean_oriented_z,ci_low,ci_high,inference_role
jacobian,hedging_uncertainty,19175,deception_dishonesty,51,0.03829630914406388,0.028907914467425137,0.047676371925919496,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,19175,refusal_safety,51,0.18949160926759118,0.17244962832713456,0.20683138480318342,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,19175,hedging_uncertainty,51,0.020053661063066882,0.004474130191445544,0.03467437460110876,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,19175,formality_politeness,51,0.175392903677769,0.15749304447648313,0.19330577758775327,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,34259,deception_dishonesty,51,-0.019902279452190266,-0.028151849528223798,-0.012130456515933414,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,34259,refusal_safety,51,-0.04861126148858045,-0.06378949396340085,-0.033445902772048675,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,34259,hedging_uncertainty,51,0.13466694741024024,0.12160285874569976,0.14773084932439592,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,34259,formality_politeness,51,0.0884870406492762,0.06781161586846172,0.11041511773498078,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,53782,deception_dishonesty,51,-0.04321904520314457,-0.05327652760766161,-0.033336810021246645,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,53782,refusal_safety,51,0.019223466906719278,0.006320598373330787,0.03356180676300704,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,53782,hedging_uncertainty,51,0.22253351290318854,0.20970641194503847,0.23521686269436676,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,53782,formality_politeness,51,-0.006940200132561494,-0.025266038888670402,0.010640023449791532,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,53919,deception_dishonesty,51,0.043865903696929456,0.033857900833609525,0.05412666422069675,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,53919,refusal_safety,51,-0.026514779443566883,-0.03875231223114185,-0.014407307998973901,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,53919,hedging_uncertainty,51,0.09697100848696633,0.08703812414167024,0.10739064608204239,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,53919,formality_politeness,51,-0.11088097974718152,-0.12526147670756513,-0.09758460803941424,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,63519,deception_dishonesty,51,0.0029601400866089435,-0.006142320910387573,0.011933935602393074,mandatory_descriptive_heterogeneity
