transport,intervention_family,lexicon,n_templates,mean_oriented_z,ci_low,ci_high
random_j_3,formality_politeness,refusal_safety,51,0.008586862588453132,-0.004239232874137136,0.021127747255784767
random_j_3,formality_politeness,hedging_uncertainty,51,-0.031400373626985834,-0.043624368283918726,-0.019152943690854164
random_j_3,formality_politeness,formality_politeness,51,-0.04454684502510983,-0.058576780624744376,-0.03051838533095334
random_j_4,deception_dishonesty,deception_dishonesty,51,-0.03656496270037007,-0.05308754746483069,-0.020142685703414393
random_j_4,deception_dishonesty,refusal_safety,51,-0.008194865792327545,-0.023242358023455617,0.006077621320129362
random_j_4,deception_dishonesty,hedging_uncertainty,51,0.013468079220214759,-0.0023019051428538155,0.0292470653783614
random_j_4,deception_dishonesty,formality_politeness,51,0.04067810131973948,0.027904033216387954,0.05337332960573222
random_j_4,refusal_safety,deception_dishonesty,51,0.0608447524152048,0.03919822515310794,0.08310554592245552
random_j_4,refusal_safety,refusal_safety,51,0.019476518286689132,0.002032912160797817,0.03590573347079023
random_j_4,refusal_safety,hedging_uncertainty,51,0.13132480211734462,0.10737342248396307,0.15455847602903355
random_j_4,refusal_safety,formality_politeness,51,0.05741043522726121,0.0396769744406029,0.07396647915573622
random_j_4,hedging_uncertainty,deception_dishonesty,51,-0.13279055591764724,-0.14963204006581504,-0.1165345904373901
random_j_4,hedging_uncertainty,refusal_safety,51,-0.10662083790294338,-0.11769205645993794,-0.09573198594577291
random_j_4,hedging_uncertainty,hedging_uncertainty,51,-0.07057715056488933,-0.09153502356877471,-0.05027409580846379
random_j_4,hedging_uncertainty,formality_politeness,51,-0.08390793428871329,-0.09704359466913652,-0.07138983541216809
random_j_4,formality_politeness,deception_dishonesty,51,-0.08982975209486051,-0.10622603898172549,-0.07353867834884803
random_j_4,formality_politeness,refusal_safety,51,-0.012209725185509489,-0.025996280402058588,0.0013728174834017907
random_j_4,formality_politeness,hedging_uncertainty,51,0.03635258448960564,0.015608713703844519,0.05895863716933889
random_j_4,formality_politeness,formality_politeness,51,-0.0018749269133635962,-0.01456420947937865,0.010736115026878311
random_j_5,deception_dishonesty,deception_dishonesty,51,-0.13240849047636444,-0.14420152618113438,-0.12139773972694852
random_j_5,deception_dishonesty,refusal_safety,51,-0.039058035021907696,-0.050196864011375644,-0.028242065854466817
random_j_5,deception_dishonesty,hedging_uncertainty,51,-0.1252047309988151,-0.1387386845050593,-0.11228637760538057
random_j_5,deception_dishonesty,formality_politeness,51,-0.08979086450348613,-0.1007730546877878,-0.07908336685837279
random_j_5,refusal_safety,deception_dishonesty,51,0.029234090800364505,0.014082528724630759,0.04413117147405783
random_j_5,refusal_safety,refusal_safety,51,0.06708127687267261,0.05271435493034726,0.08049299052095338
random_j_5,refusal_safety,hedging_uncertainty,51,0.0438734184878298,0.025912403595284076,0.06200499877009249
random_j_5,refusal_safety,formality_politeness,51,0.0800878883038716,0.06521809943037274,0.09506510496902901
random_j_5,hedging_uncertainty,deception_dishonesty,51,0.03418089661135684,0.024398189644874845,0.04407857866880674
random_j_5,hedging_uncertainty,refusal_safety,51,0.01579496845738177,0.005523590699266543,0.02638961608315472
random_j_5,hedging_uncertainty,hedging_uncertainty,51,-0.01940541829143907,-0.0325621897619056,-0.005559930507119425
random_j_5,hedging_uncertainty,formality_politeness,51,-0.009261249841239423,-0.019210247573476995,0.0008140048162698902
random_j_5,formality_politeness,deception_dishonesty,51,-0.02129833379698898,-0.03365841348881548,-0.009442887359826018
random_j_5,formality_politeness,refusal_safety,51,-0.019426626287260888,-0.028022531181864416,-0.010459653609087764
random_j_5,formality_politeness,hedging_uncertainty,51,0.0068264813533152535,-0.0034297757577750974,0.01723338762749322
random_j_5,formality_politeness,formality_politeness,51,0.043079227694105195,0.032632421029204085,0.053702033998189964
