condition,cosine_distance_to_centroid
mindfulness_external,0.07503836453307544
mindfulness_external,0.12440663556205345
mindfulness_external,0.05434896954811119
mindfulness_external,0.12130066292974262
mindfulness_external,0.04738306106674184
mindfulness_external,0.13188664258516236
mindfulness_external,0.12723741819251067
mindfulness_external,0.12130066292974262
mindfulness_external,0.13947655720479513
mindfulness_external,0.17098315138295805
mindfulness_external,0.042115550342307184
mindfulness_external,0.15232317895963676
mindfulness_external,0.09123510331214046
mindfulness_external,0.042115550342307184
mindfulness_external,0.11379798843193456
mindfulness_external,0.057335506727661634
mindfulness_external,0.09529198264203997
mindfulness_external,0.11621536409572542
mindfulness_external,0.09729452353825718
mindfulness_external,0.12723741819251067
mindfulness_external,0.042115550342307184
mindfulness_external,0.07624936057307474
mindfulness_external,0.11902574596663573
mindfulness_external,0.05308076185194066
mindfulness_external,0.042115550342307184
mindfulness_external,0.042115550342307184
mindfulness_external,0.08537906310831467
mindfulness_external,0.07506295984596045
mindfulness_external,0.09903925607978026
mindfulness_external,0.07603963901624944
mindfulness_external,0.1552982251940418
mindfulness_external,0.13188664258516236
mindfulness_external,0.10863655110133963
mindfulness_external,0.05308076185194066
mindfulness_external,0.11936092342074378
mindfulness_external,0.08152212605934794
mindfulness_external,0.131163673443619
mindfulness_external,0.07299830124414397
mindfulness_external,0.17126205640944203
mindfulness_external,0.07524864976225765
mindfulness_external,0.04582256866036072
mindfulness_external,0.0449411584365782
mindfulness_external,0.04582256866036072
mindfulness_external,0.18992229627014567
mindfulness_external,0.05308076185194066
mindfulness_external,0.10002235404193227
mindfulness_external,0.06884397987450352
mindfulness_external,0.04400867157333577
self_ref_mechanistic,0.08040336699725192
self_ref_mechanistic,0.09186332140143438
self_ref_mechanistic,0.0704405183732385
self_ref_mechanistic,0.08125163859828133
self_ref_mechanistic,0.1737132816454432
self_ref_mechanistic,0.0940016519393041
self_ref_mechanistic,0.10138002041609395
self_ref_mechanistic,0.08136737497153201
self_ref_mechanistic,0.09644959411725273
self_ref_mechanistic,0.13153611226733053
self_ref_mechanistic,0.0842727967738306
self_ref_mechanistic,0.11424331829802847
self_ref_mechanistic,0.12283554413739872
self_ref_mechanistic,0.08395399573496831
self_ref_mechanistic,0.12166388099693748
self_ref_mechanistic,0.18861487398685917
self_ref_mechanistic,0.146454178632057
self_ref_mechanistic,0.07090724472064214
self_ref_mechanistic,0.11919443299675847
self_ref_mechanistic,0.11820819942713645
self_ref_mechanistic,0.09029092106597447
self_ref_mechanistic,0.2056713097183096
self_ref_mechanistic,0.14890534829213986
self_ref_mechanistic,0.080912255853971
self_ref_mechanistic,0.28547117403707123
self_ref_mechanistic,0.10646572507556384
self_ref_mechanistic,0.15698040151121828
self_ref_mechanistic,0.12502214327353833
self_ref_mechanistic,0.11679982154503177
self_ref_mechanistic,0.1010692463835956
self_ref_mechanistic,0.08578835506665539
self_ref_mechanistic,0.0665015511446938
self_ref_mechanistic,0.11797042830479754
self_ref_mechanistic,0.0892415606133713
self_ref_mechanistic,0.1042222539107116
self_ref_mechanistic,0.07384037843917246
self_ref_mechanistic,0.11832546376716502
self_ref_mechanistic,0.08136058344165109
self_ref_mechanistic,0.10651953564813832
self_ref_mechanistic,0.12389238369963385
self_ref_mechanistic,0.09914277913700054
self_ref_mechanistic,0.10221558693189903
self_ref_mechanistic,0.15711438688055068
self_ref_mechanistic,0.1444464536833352
self_ref_mechanistic,0.12797515779972102
self_ref_mechanistic,0.13781488008369025
self_ref_mechanistic,0.0868550042101307
self_ref_mechanistic,0.11811397688324554
self_ref_mechanistic,0.12297922240240666
self_ref_mechanistic,0.13328277473048944
self_ref_paper,0.3177647768149138
self_ref_paper,0.05875664597427677
self_ref_paper,0.05012336289975827
self_ref_paper,0.047140359633525586
self_ref_paper,0.045833496461233025
self_ref_paper,0.05511548796265764
self_ref_paper,0.15972947735334353
self_ref_paper,0.04453410592056539
self_ref_paper,0.0991939168063074
