direction_id,role,feature_id,matched_target_feature_id,control_panel,k,target_norm,fitted_norm,remainder_norm,explained_squared_norm,fit_cosine
sae-control-p1-11872,matched_control,11872,58667,1,10,1.1387449502944946,0.2681296765804291,1.1067278385162354,0.05544176153038838,0.23546069860458374
sae-control-p1-11872,matched_control,11872,58667,1,16,1.1387449502944946,0.29109737277030945,1.10090970993042,0.0653468454449686,0.2556300461292267
sae-control-p1-11872,matched_control,11872,58667,1,25,1.1387449502944946,0.30736207962036133,1.096480131149292,0.07285298464779577,0.269912987947464
sae-control-p2-7182,matched_control,7182,58667,2,5,1.1392185688018799,0.12363770604133606,1.132489562034607,0.011778483751588409,0.1085285097360611
sae-control-p2-7182,matched_control,7182,58667,2,10,1.1392185688018799,0.1517362892627716,1.12906813621521,0.01774060344149997,0.13319331407546997
sae-control-p2-7182,matched_control,7182,58667,2,16,1.1392185688018799,0.16923777759075165,1.1265777349472046,0.022068990963135304,0.14855602383613586
sae-control-p2-7182,matched_control,7182,58667,2,25,1.1392185688018799,0.18264667689800262,1.1244816780090332,0.025704589526279298,0.1603263020515442
sae-control-p3-1364,matched_control,1364,58667,3,5,1.13773512840271,0.15298372507095337,1.1274027824401855,0.01808053401160825,0.1344633847475052
sae-control-p3-1364,matched_control,1364,58667,3,10,1.13773512840271,0.1731814295053482,1.1244773864746094,0.023169711524730463,0.15221595764160156
sae-control-p3-1364,matched_control,1364,58667,3,16,1.13773512840271,0.18702611327171326,1.1222577095031738,0.027022359344618052,0.1643846035003662
sae-control-p3-1364,matched_control,1364,58667,3,25,1.13773512840271,0.1954427808523178,1.120822548866272,0.029509286086839004,0.17178231477737427
random-residual-for-58667,isotropic_control,,58667,,5,1.138700008392334,0.1014961376786232,1.1341676712036133,0.007944703934550379,0.08913333714008331
random-residual-for-58667,isotropic_control,,58667,,10,1.138700008392334,0.12893398106098175,1.1313769817352295,0.012820724089352198,0.11322909593582153
random-residual-for-58667,isotropic_control,,58667,,16,1.138700008392334,0.1482088565826416,1.1290136575698853,0.01694063806643631,0.13015618920326233
random-residual-for-58667,isotropic_control,,58667,,25,1.138700008392334,0.16595377027988434,1.126542091369629,0.021240031268325854,0.14573967456817627
sae-target-22004,target,22004,22004,,5,1.224563479423523,0.17855168879032135,1.2114763259887695,0.021260181522276378,0.14580842852592468
sae-target-22004,target,22004,22004,,10,1.224563479423523,0.2045186161994934,1.2073640823364258,0.027893386954228938,0.1670134961605072
sae-target-22004,target,22004,22004,,16,1.224563479423523,0.2176741659641266,1.205061674118042,0.03159740997373439,0.17775651812553406
sae-target-22004,target,22004,22004,,25,1.224563479423523,0.22798486053943634,1.2031536102294922,0.03466166998990505,0.18617641925811768
sae-control-p1-55963,matched_control,55963,22004,1,5,1.2247300148010254,0.3045901656150818,1.1862497329711914,0.061851620675378416,0.2486998438835144
sae-control-p1-55963,matched_control,55963,22004,1,10,1.2247300148010254,0.3171357810497284,1.1829575300216675,0.06705168759143854,0.25894343852996826
sae-control-p1-55963,matched_control,55963,22004,1,16,1.2247300148010254,0.32524895668029785,1.1807525157928467,0.07052644808030506,0.2655678391456604
sae-control-p1-55963,matched_control,55963,22004,1,25,1.2247300148010254,0.33299368619918823,1.1785918474197388,0.07392503769658065,0.2718914747238159
sae-control-p2-47797,matched_control,47797,22004,2,5,1.226605772972107,0.34686070680618286,1.1765412092208862,0.07996515098799306,0.28278088569641113
sae-control-p2-47797,matched_control,47797,22004,2,10,1.226605772972107,0.3779613971710205,1.166921854019165,0.09494798836413698,0.308135986328125
sae-control-p2-47797,matched_control,47797,22004,2,16,1.226605772972107,0.39344075322151184,1.1617943048477173,0.102884257401191,0.32075566053390503
