transport,layer,position,sign,n_pairs,n_template_families,mean_target_minus_matched,ci_low,ci_high
identity,70,assistant_boundary,amplification,306,51,0.2756765328824758,0.25116250275535695,0.29934023404287535
identity,70,assistant_boundary,suppression,306,51,-0.30725717227799465,-0.32569177493532353,-0.288376399876637
identity,70,content_mean,amplification,306,51,0.33776557134172197,0.318700089901564,0.3565080026029975
identity,70,content_mean,suppression,306,51,-0.3730769543086782,-0.38919373234502636,-0.35719143112792695
identity,70,last_content,amplification,306,51,0.22164255582873582,0.194888229554236,0.24736971685706996
identity,70,last_content,suppression,306,51,-0.23148105617725215,-0.2530774407296098,-0.20964099860453775
identity,75,assistant_boundary,amplification,306,51,0.25507417833660817,0.22970603166644168,0.27915568916095507
identity,75,assistant_boundary,suppression,306,51,-0.31518922108255965,-0.3356056419650497,-0.2944599179485189
identity,75,content_mean,amplification,306,51,0.29406585202558466,0.27433923854122816,0.31335005700783014
identity,75,content_mean,suppression,306,51,-0.35342852390231255,-0.3691303728839224,-0.3376784625423622
identity,75,last_content,amplification,306,51,0.24229450053322352,0.21508627868534425,0.26834833883464315
identity,75,last_content,suppression,306,51,-0.2618054762799171,-0.2841089762397281,-0.23793661544781206
identity,78,assistant_boundary,amplification,306,51,0.3298558767296141,0.30242242133023506,0.3561700746232246
identity,78,assistant_boundary,suppression,306,51,-0.3249952956367196,-0.3517886304865029,-0.29750393979683476
identity,78,content_mean,amplification,306,51,0.5646934053696349,0.5349721783019405,0.5928010056831636
identity,78,content_mean,suppression,306,51,-0.5467021942102148,-0.5638213547782096,-0.5294598591748095
identity,78,last_content,amplification,306,51,0.35027695937216086,0.3179870564721866,0.38082455349526845
identity,78,last_content,suppression,306,51,-0.3244060402642098,-0.345981383662339,-0.301163611809755
jacobian,50,assistant_boundary,amplification,306,51,1.1158108513199672,1.0946565496296243,1.1371491706420307
jacobian,50,assistant_boundary,suppression,306,51,-1.123199643886776,-1.1440028442362826,-1.1020976393112267
jacobian,50,content_mean,amplification,306,51,1.6782204978216708,1.6259344918034198,1.7302068257794636
jacobian,50,content_mean,suppression,306,51,-1.7423132462792241,-1.7922981849548583,-1.6932100584149192
jacobian,50,last_content,amplification,306,51,1.1796587212017877,1.1325178490251002,1.226424204505488
jacobian,50,last_content,suppression,306,51,-1.2119502231206296,-1.2535946865873282,-1.1709697697984263
jacobian,55,assistant_boundary,amplification,306,51,1.0557486936413862,1.0239758990535386,1.0881383838641057
jacobian,55,assistant_boundary,suppression,306,51,-0.9671086099503965,-0.9968481141932755,-0.9384145988984202
jacobian,55,content_mean,amplification,306,51,1.742806033199361,1.6832319741548016,1.8014387576626625
jacobian,55,content_mean,suppression,306,51,-1.6680530300972605,-1.7146067051851446,-1.6213023358574776
jacobian,55,last_content,amplification,306,51,1.062199289600625,1.0046273407664796,1.1169356396306753
jacobian,55,last_content,suppression,306,51,-0.9932326063022227,-1.0278222922365077,-0.9590169729424864
jacobian,60,assistant_boundary,amplification,306,51,1.0140596589224193,0.9814465378383151,1.046008415611269
jacobian,60,assistant_boundary,suppression,306,51,-0.9516234278048883,-0.9797615134440858,-0.9237389325904222
jacobian,60,content_mean,amplification,306,51,1.5675799451082457,1.501379991843809,1.6325450104652581
jacobian,60,content_mean,suppression,306,51,-1.5208722596259154,-1.5738037554325965,-1.4686247716128433
jacobian,60,last_content,amplification,306,51,0.9474252657295247,0.8849501549238126,1.0079865726321977
jacobian,60,last_content,suppression,306,51,-0.8871547936001912,-0.9269906832317216,-0.8471502798182058
jacobian,65,assistant_boundary,amplification,306,51,0.9727015725944108,0.9388606278530546,1.0063842303228085
jacobian,65,assistant_boundary,suppression,306,51,-0.8893055797895428,-0.9217359903742168,-0.8571749925801342
jacobian,65,content_mean,amplification,306,51,1.5194296574774935,1.4556066058964536,1.5834211812621193
jacobian,65,content_mean,suppression,306,51,-1.437160417254941,-1.486598074062746,-1.389154437607614
jacobian,65,last_content,amplification,306,51,0.9065239599103555,0.8426254067833568,0.9673292276625265
jacobian,65,last_content,suppression,306,51,-0.8246985261360474,-0.8641240123977803,-0.7852922077543707
jacobian,70,assistant_boundary,amplification,306,51,0.8297201946333622,0.7973735279829721,0.8617679072112558
jacobian,70,assistant_boundary,suppression,306,51,-0.7613953966424828,-0.7897250367028212,-0.7335018975984676
jacobian,70,content_mean,amplification,306,51,1.3465215033700144,1.2935266133601735,1.399419210827101
jacobian,70,content_mean,suppression,306,51,-1.2679251978383856,-1.3095769870060716,-1.2274473336913694
jacobian,70,last_content,amplification,306,51,0.8285979510351206,0.7701635890612356,0.8844565707818379
jacobian,70,last_content,suppression,306,51,-0.744728154631779,-0.7820254555005056,-0.7076570246950913
jacobian,75,assistant_boundary,amplification,306,51,0.7219461751219153,0.68863461152639,0.7541051338833462
jacobian,75,assistant_boundary,suppression,306,51,-0.69926049198584,-0.7290909247837347,-0.6682385785839206
jacobian,75,content_mean,amplification,306,51,0.8680326971742841,0.8370778811620732,0.8995532527760742
jacobian,75,content_mean,suppression,306,51,-0.8388844185502702,-0.8631245192128166,-0.8149853628907914
jacobian,75,last_content,amplification,306,51,0.6821164209115547,0.6297466207179623,0.7323933511672318
jacobian,75,last_content,suppression,306,51,-0.6378394043799893,-0.673500721079586,-0.6006813678868687
jacobian,78,assistant_boundary,amplification,306,51,0.5489777102822961,0.5094831667772382,0.5876993975603612
jacobian,78,assistant_boundary,suppression,306,51,-0.48171330372090726,-0.519548811373933,-0.4438952724498415
jacobian,78,content_mean,amplification,306,51,0.8880833173109814,0.8499292567761895,0.9254087783639728
jacobian,78,content_mean,suppression,306,51,-0.7876124021664164,-0.8107911520047126,-0.7646520086898914
jacobian,78,last_content,amplification,306,51,0.4816539725987812,0.4426202534006949,0.519179811156245
jacobian,78,last_content,suppression,306,51,-0.4196051011104335,-0.44206154745803433,-0.3957415732896681
random_j_1,50,assistant_boundary,amplification,306,51,0.1349230329791431,0.13150335483951492,0.13845448402550567
random_j_1,50,assistant_boundary,suppression,306,51,-0.13588356233378446,-0.13938021153375946,-0.13258893829116025
random_j_1,50,content_mean,amplification,306,51,0.15160539050836092,0.14729495401735024,0.15619524671797705
random_j_1,50,content_mean,suppression,306,51,-0.15243191364696065,-0.15702967687503866,-0.14800192388223513
random_j_1,50,last_content,amplification,306,51,0.12059831301060818,0.11674057235380138,0.12465525877658577
random_j_1,50,last_content,suppression,306,51,-0.12239063720259163,-0.12657507930845088,-0.11849597161336634
random_j_1,55,assistant_boundary,amplification,306,51,-0.0286885697213519,-0.03804779261659931,-0.018877664456003994
random_j_1,55,assistant_boundary,suppression,306,51,0.013273231789592983,0.0038304555090791026,0.022044658103564565
random_j_1,55,content_mean,amplification,306,51,-0.0512433266974803,-0.05672840858428542,-0.045789655662191966
random_j_1,55,content_mean,suppression,306,51,0.04482031059324429,0.03953897342946304,0.04992865076809442
random_j_1,55,last_content,amplification,306,51,-0.014530622133272973,-0.024165051223779044,-0.0047819732971131085
random_j_1,55,last_content,suppression,306,51,0.008037648976550687,-0.0013636696181635547,0.01721039600326037
random_j_1,60,assistant_boundary,amplification,306,51,-0.11410514584575471,-0.1308808194126898,-0.09700892380095587
