from_layer,to_layer,from_feature_id,to_feature_id,n_common_items,activation_spearman,decoder_cosine,top20_item_jaccard,selected_descriptive_edge
16,17,13471,6851,1110,0.33131076416998756,-0.003630630441578518,0.02564102564102564,0
16,17,13471,9027,1110,0.464520588754267,-0.0432181641950548,0.02564102564102564,0
16,17,13471,9218,1110,0.4549387854035795,0.002511140009255366,0.0,0
16,17,13471,12059,1110,-0.08800154317578149,0.005032384188958526,0.0,0
16,17,15703,1199,1110,0.97807410794179,0.979496951432004,0.7391304347826086,1
16,17,15703,2341,1110,0.1676917364336469,0.013454612719713932,0.0,0
16,17,15703,6851,1110,0.061523290103721706,-0.026187178552734024,0.0,0
16,17,15703,9027,1110,0.3032257058383073,0.006016485514514283,0.0,0
16,17,15703,9218,1110,0.26724018686693335,-0.014718335166020448,0.0,0
16,17,15703,12059,1110,0.050009550825851005,-0.025377350600025585,0.05263157894736842,0
17,18,1199,358,1110,0.1749209023399912,-0.01845406335374321,0.02564102564102564,0
17,18,1199,399,1110,0.28324612383960796,0.005574233060786667,0.0,0
17,18,1199,1167,1110,0.027055351786101033,-0.003154413551985623,0.0,0
17,18,1199,2503,1110,0.18435000110444166,-0.04593588517485702,0.0,0
17,18,1199,10572,1110,0.26592548337724015,-0.0017492388422249373,0.0,0
17,18,1199,11055,1110,0.9803464622711885,0.9862171358649563,0.7391304347826086,1
17,18,2341,358,1110,0.2899145935143854,0.001149048427309859,0.02564102564102564,0
17,18,2341,399,1110,0.6576099975233262,0.198014779341568,0.02564102564102564,1
17,18,2341,1167,1110,0.7425432488935556,0.3977396059964789,0.02564102564102564,1
17,18,2341,2503,1110,0.5336534089350974,0.02451007587093036,0.0,0
17,18,2341,10572,1110,0.6861177692322563,0.18858783377631988,0.0,1
17,18,2341,11055,1110,0.16612230187315513,0.011816804161038164,0.0,0
17,18,6851,358,1110,0.3597265746379484,0.009974865686577863,0.02564102564102564,0
17,18,6851,399,1110,0.6357960929672416,0.08090108598557061,0.0,1
17,18,6851,1167,1110,0.8706512062703616,0.418811156424294,0.05263157894736842,1
17,18,6851,2503,1110,0.5610901449561616,0.14455611459430717,0.0,1
17,18,6851,10572,1110,0.5048125914734781,0.3150685225159645,0.0,1
17,18,6851,11055,1110,0.0597384325475646,-0.02652106844075227,0.02564102564102564,0
17,18,9027,358,1110,0.24183199122148694,0.002276747002567402,0.0,0
17,18,9027,399,1110,0.8384708773210828,0.3257385295770241,0.08108108108108109,1
17,18,9027,1167,1110,0.6817259775467525,0.1725957934077551,0.0,1
17,18,9027,2503,1110,0.6696686909978689,0.09418289188117485,0.0,1
17,18,9027,10572,1110,0.5358850632474821,0.1085875995604254,0.0,1
17,18,9027,11055,1110,0.30512570167806324,0.009180130055770779,0.0,0
17,18,9218,358,1110,0.21535452137096048,0.0024441232645336253,0.02564102564102564,0
17,18,9218,399,1110,0.76948242433631,0.08624442593603994,0.17647058823529413,1
17,18,9218,1167,1110,0.5714730093059834,0.13162273410269762,0.0,1
17,18,9218,2503,1110,0.6434427268661885,0.03391758535765874,0.0,0
17,18,9218,10572,1110,0.4567691182267842,0.013825823923524348,0.0,0
17,18,9218,11055,1110,0.2640829988203647,-0.007485623010271089,0.0,0
17,18,12059,358,1110,0.9153082829687409,0.9951224061295301,0.6,1
17,18,12059,399,1110,0.08343937967385598,0.002470632599194743,0.0,0
17,18,12059,1167,1110,0.22616675839912145,0.0017234059946925212,0.0,0
17,18,12059,2503,1110,0.1758558702112067,0.012684188672771225,0.0,0
17,18,12059,10572,1110,0.04843797739018563,0.005681717394781552,0.0,0
17,18,12059,11055,1110,0.05854995664184733,-0.021902837168329876,0.08108108108108109,0
18,19,358,1007,1110,0.2311432473300835,0.0013348745813040349,0.02564102564102564,0
18,19,358,1145,1110,0.9060128292270789,0.9808069671981515,0.6,1
18,19,358,3040,1110,-0.009060781826568045,0.004717676523162051,0.0,0
18,19,358,10589,1110,0.10307987189690952,0.0012635187784327342,0.0,0
18,19,358,14566,1110,-0.17771525792952989,-0.000933290132694434,0.0,0
18,19,358,14649,1110,0.12762124386891244,-0.004071171447365795,0.02564102564102564,0
18,19,399,1007,1110,0.6892733264732701,0.15744948871059225,0.02564102564102564,1
18,19,399,1145,1110,0.11924865990216246,0.004104427082173197,0.0,0
18,19,399,3040,1110,0.5107516648545246,-0.008008107668709881,0.02564102564102564,0
18,19,399,10589,1110,0.7791942893382313,0.4013189777214354,0.05263157894736842,1
18,19,399,14566,1110,0.2276673979613483,0.05483854964486249,0.0,0
18,19,399,14649,1110,0.2757198290207273,-0.00029034014367198104,0.0,0
18,19,1167,1007,1110,0.6824846546342807,0.15065756404421585,0.08108108108108109,1
18,19,1167,1145,1110,0.2473700561580799,0.004872541060623807,0.0,0
18,19,1167,3040,1110,0.35430972518025383,-0.013781666175361602,0.0,0
18,19,1167,10589,1110,0.7035294522602455,0.3136450459792769,0.0,1
18,19,1167,14566,1110,0.023863703029835894,-0.0006294422992552382,0.0,0
18,19,1167,14649,1110,0.02171424035869034,-0.0019294701673080938,0.0,0
18,19,2503,1007,1110,0.65546831992262,0.2681446258664105,0.0,1
18,19,2503,1145,1110,0.20566885093602733,0.007360571353871862,0.0,0
18,19,2503,3040,1110,0.4114441455018248,-0.04598159467365399,0.0,0
18,19,2503,10589,1110,0.5672259869607201,0.05769864078599257,0.0,1
18,19,2503,14566,1110,0.11057034530620477,-0.005105073492796703,0.0,0
18,19,2503,14649,1110,0.173910886727801,-0.03849527202540353,0.0,0
18,19,10572,1007,1110,0.4424575925645627,0.20570017007000646,0.0,1
18,19,10572,1145,1110,0.07025237606823995,0.004154929414176093,0.0,0
18,19,10572,3040,1110,0.3689036894068214,0.039050439617335155,0.02564102564102564,0
18,19,10572,10589,1110,0.6703718091314739,0.15788371404979576,0.05263157894736842,1
18,19,10572,14566,1110,0.3013154133904084,0.01950597908668788,0.0,0
18,19,10572,14649,1110,0.25919891885013063,0.0031894563808341878,0.0,0
18,19,11055,1007,1110,0.138364201411142,-0.025936900571300173,0.0,0
18,19,11055,1145,1110,0.06933062513760763,0.006491231153407338,0.02564102564102564,0
18,19,11055,3040,1110,0.24555246717949145,-0.03774283741096008,0.0,0
18,19,11055,10589,1110,0.29191600611076746,0.0027275958227609403,0.0,0
18,19,11055,14566,1110,0.32742372015077625,0.01587461982094817,0.05263157894736842,0
18,19,11055,14649,1110,0.9853464073143348,0.9609408073069449,0.48148148148148145,1
19,20,1007,1115,1110,0.1269818335494836,-0.025452320979407105,0.0,0
19,20,1007,5708,1110,0.35894091891843577,0.12357197340880145,0.0,1
19,20,1007,6990,1110,0.6233403351457206,0.01695920601629865,0.0,0
19,20,1007,8255,1110,0.8386421098295528,0.8231797434009257,0.8181818181818182,1
19,20,1007,12440,1110,0.13108603685549508,0.0009302212553101159,0.02564102564102564,0
19,20,1007,13209,1110,0.056704844241694044,-0.037170084771172854,0.0,0
19,20,1145,1115,1110,0.05868761196616146,0.009253102150470434,0.02564102564102564,0
19,20,1145,5708,1110,0.049846842630469894,0.0019146976863344263,0.0,0
19,20,1145,6990,1110,0.02072883998036271,0.002890898278560371,0.05263157894736842,0
19,20,1145,8255,1110,0.1950702903921873,0.0019180123088740721,0.02564102564102564,0
19,20,1145,12440,1110,0.987628196316131,0.9885975868518632,0.6,1
19,20,1145,13209,1110,-0.2609158135703326,0.0011304561673513578,0.0,0
19,20,3040,1115,1110,0.2370345281681828,-0.03704791815100512,0.0,0
19,20,3040,5708,1110,0.33973509756560066,0.031504656574133594,0.0,0
19,20,3040,6990,1110,0.5787949332292972,-0.006593373810420471,0.05263157894736842,0
