sae_key,construct,feature_id,discovery_rank,selection_eligible,selection_rank,selected,discovery_contrast,selection_contrast,confirmation_contrast,decoder_norm,discovery_mean_activation,discovery_positive_item_fraction,selection_positive_item_fraction,active_q90
pt_res_l20_w16384,deception_roleplay,7421,15,1,10,0,13.034082412719727,12.854199409484863,13.2080078125,1.0000537633895874,6.14263391494751,0.30089285714285713,0.2883928571428571,
pt_res_l20_w16384,deception_roleplay,11412,16,1,15,0,13.028873443603516,11.319042205810547,11.035815238952637,1.0001670122146606,6.242494583129883,0.12678571428571428,0.18839285714285714,
pt_res_l20_w16384,deception_roleplay,13222,17,1,34,0,12.789712905883789,8.04335880279541,12.165754318237305,1.000120997428894,5.854910850524902,0.15625,0.14821428571428572,
pt_res_l20_w16384,deception_roleplay,7579,18,1,11,0,12.66796875,11.888606071472168,7.2678022384643555,0.9997872114181519,19.32008934020996,0.8696428571428572,0.89375,
pt_res_l20_w16384,deception_roleplay,12418,19,1,9,0,12.42529296875,13.77779769897461,12.920408248901367,1.0011978149414062,23.681612014770508,0.9089285714285714,0.925,
pt_res_l20_w16384,deception_roleplay,14165,20,1,47,0,12.312336921691895,6.080827713012695,5.967931747436523,0.9999489188194275,5.875641822814941,0.3169642857142857,0.24732142857142858,
pt_res_l20_w16384,deception_roleplay,1085,21,1,21,0,12.16757869720459,10.034634590148926,6.0194010734558105,0.9998486042022705,8.541908264160156,0.42589285714285713,0.40535714285714286,
pt_res_l20_w16384,deception_roleplay,5708,22,1,6,1,12.166797637939453,14.297298431396484,14.043408393859863,0.9998910427093506,6.561830520629883,0.3098214285714286,0.45,36.75
pt_res_l20_w16384,deception_roleplay,11047,23,1,27,0,11.547395706176758,9.514289855957031,11.018895149230957,0.9999252557754517,5.16498327255249,0.14732142857142858,0.15892857142857142,
pt_res_l20_w16384,deception_roleplay,14488,24,1,63,0,11.175326347351074,0.17975258827209473,-1.3414942026138306,1.000117540359497,5.7472100257873535,0.13214285714285715,0.07767857142857143,
pt_res_l20_w16384,deception_roleplay,8661,25,1,55,0,11.163021087646484,3.9569661617279053,4.4083333015441895,1.0000087022781372,7.421651840209961,0.14732142857142858,0.039285714285714285,
pt_res_l20_w16384,deception_roleplay,10493,26,1,18,0,11.051401138305664,10.486587524414062,10.630048751831055,1.0001848936080933,6.838336944580078,0.4294642857142857,0.37589285714285714,
pt_res_l20_w16384,deception_roleplay,6666,27,1,45,0,10.882192611694336,6.405794143676758,4.658796310424805,1.0000849962234497,31.04171371459961,0.9901785714285715,0.99375,
pt_res_l20_w16384,deception_roleplay,13328,28,1,33,0,10.158854484558105,8.206119537353516,9.766047477722168,1.000014305114746,4.858231067657471,0.3375,0.29196428571428573,
pt_res_l20_w16384,deception_roleplay,2727,29,1,14,0,10.124348640441895,11.704231262207031,13.095169067382812,0.9998766183853149,10.272851943969727,0.6044642857142857,0.5678571428571428,
pt_res_l20_w16384,deception_roleplay,14194,30,1,23,0,9.894628524780273,9.927766799926758,9.335813522338867,0.999942421913147,4.679883003234863,0.29732142857142857,0.3169642857142857,
pt_res_l20_w16384,deception_roleplay,3956,31,1,30,0,9.749544143676758,8.765202522277832,8.226563453674316,1.0000417232513428,14.718499183654785,0.8633928571428572,0.8955357142857143,
pt_res_l20_w16384,deception_roleplay,15930,32,1,25,0,9.613542556762695,9.75253963470459,10.056193351745605,1.0000442266464233,5.935993194580078,0.3053571428571429,0.3267857142857143,
pt_res_l20_w16384,deception_roleplay,4815,33,1,60,0,9.582551956176758,1.3385415077209473,2.625925064086914,0.9997339844703674,8.022321701049805,0.17946428571428572,0.16517857142857142,
pt_res_l20_w16384,deception_roleplay,6321,34,1,22,0,9.54453182220459,9.935937881469727,10.278647422790527,1.0000511407852173,4.3731584548950195,0.23392857142857143,0.26071428571428573,
pt_res_l20_w16384,deception_roleplay,14206,35,1,26,0,9.502212524414062,9.720312118530273,10.123860359191895,0.999996542930603,5.124665260314941,0.3410714285714286,0.2955357142857143,
pt_res_l20_w16384,deception_roleplay,10904,36,1,24,0,9.49570369720459,9.896876335144043,9.684309005737305,0.9995317459106445,7.091462135314941,0.34017857142857144,0.32767857142857143,
pt_res_l20_w16384,deception_roleplay,11837,37,1,38,0,9.102668762207031,7.456966400146484,8.743380546569824,1.0000346899032593,4.73138952255249,0.3464285714285714,0.3580357142857143,
pt_res_l20_w16384,deception_roleplay,8094,38,1,36,0,8.83349609375,7.763705253601074,6.546350479125977,1.0001202821731567,5.521791458129883,0.2044642857142857,0.2080357142857143,
pt_res_l20_w16384,deception_roleplay,299,39,1,44,0,8.8217134475708,6.516894340515137,7.0223588943481445,0.9999808073043823,4.425697326660156,0.2955357142857143,0.26339285714285715,
pt_res_l20_w16384,deception_roleplay,1969,40,1,32,0,8.797983169555664,8.486457824707031,9.044233322143555,1.0000416040420532,6.715624809265137,0.38839285714285715,0.3875,
pt_res_l20_w16384,deception_roleplay,16004,41,1,13,0,8.733463287353516,11.772136688232422,7.449274063110352,0.9999940395355225,29.06026840209961,0.7571428571428571,0.71875,
pt_res_l20_w16384,deception_roleplay,9760,42,1,41,0,8.69492244720459,7.224381446838379,6.382347106933594,1.0000406503677368,8.946038246154785,0.6589285714285714,0.59375,
pt_res_l20_w16384,deception_roleplay,6683,43,1,46,0,8.560807228088379,6.217318058013916,6.821035385131836,0.9999347925186157,3.8948380947113037,0.2625,0.20535714285714285,
pt_res_l20_w16384,deception_roleplay,4243,44,1,35,0,8.529296875,8.022363662719727,8.827690124511719,0.9999838471412659,4.986356258392334,0.3169642857142857,0.2982142857142857,
pt_res_l20_w16384,deception_roleplay,9531,45,1,48,0,8.498893737792969,5.913477420806885,5.717904090881348,0.9999983310699463,4.361328125,0.2642857142857143,0.22053571428571428,
pt_res_l20_w16384,deception_roleplay,625,46,1,29,0,8.420897483825684,9.150553703308105,8.858118057250977,1.0000288486480713,7.117661952972412,0.4375,0.45357142857142857,
