sae_key,construct,feature_id,discovery_rank,selection_eligible,selection_rank,selected,discovery_contrast,selection_contrast,confirmation_contrast,decoder_norm,discovery_mean_activation,discovery_positive_item_fraction,selection_positive_item_fraction,active_q90
pt_att_l12_w16384,deception_roleplay,6193,35,1,47,0,0.9455077648162842,0.7171875238418579,0.9662993550300598,0.9999651908874512,1.0941824913024902,0.4419642857142857,0.36964285714285716,
pt_att_l12_w16384,deception_roleplay,7993,36,1,64,0,0.9449546337127686,-0.048909902572631836,0.01682281494140625,0.9998607635498047,3.901381254196167,0.9678571428571429,1.0,
pt_att_l12_w16384,deception_roleplay,9109,37,1,62,0,0.9319784045219421,0.1534830629825592,0.3180578947067261,0.9999582767486572,0.4414934515953064,0.055357142857142855,0.08035714285714286,
pt_att_l12_w16384,deception_roleplay,15202,38,1,21,0,0.9296102523803711,1.0443766117095947,1.1875979900360107,1.0001424551010132,0.7932407855987549,0.30178571428571427,0.2357142857142857,
pt_att_l12_w16384,deception_roleplay,327,39,1,23,0,0.926684558391571,1.0224976539611816,0.8434615135192871,0.9997394680976868,1.0129464864730835,0.4357142857142857,0.41160714285714284,
pt_att_l12_w16384,deception_roleplay,11369,40,1,40,0,0.9232625365257263,0.7744709849357605,0.9406077265739441,1.000077486038208,0.4540736675262451,0.30357142857142855,0.28035714285714286,
pt_att_l12_w16384,deception_roleplay,12292,41,1,37,0,0.9187012910842896,0.7915364503860474,0.699690580368042,1.0001213550567627,1.458133339881897,0.7901785714285714,0.8526785714285714,
pt_att_l12_w16384,deception_roleplay,2527,42,1,29,0,0.9092000126838684,0.9042765498161316,0.8458455801010132,1.0000946521759033,0.4819789230823517,0.32321428571428573,0.35892857142857143,
pt_att_l12_w16384,deception_roleplay,11050,43,1,27,0,0.905468761920929,0.9458167552947998,0.8233350515365601,0.9998289942741394,0.9894670844078064,0.42142857142857143,0.4875,
pt_att_l12_w16384,deception_roleplay,4314,44,1,14,0,0.8705850839614868,1.1707804203033447,1.1873927116394043,0.999853789806366,2.4824602603912354,0.7883928571428571,0.825,
pt_att_l12_w16384,deception_roleplay,14213,45,1,32,0,0.87017822265625,0.8542481064796448,0.9693767428398132,1.00019109249115,0.8159737586975098,0.5419642857142857,0.4857142857142857,
pt_att_l12_w16384,deception_roleplay,4428,46,1,42,0,0.8575357794761658,0.7684488892555237,0.6383520364761353,0.9999416470527649,0.6573346853256226,0.3919642857142857,0.4142857142857143,
pt_att_l12_w16384,deception_roleplay,4721,47,1,48,0,0.84405916929245,0.7101236581802368,0.7603694796562195,1.000071406364441,0.4907854497432709,0.3080357142857143,0.31785714285714284,
pt_att_l12_w16384,deception_roleplay,14110,48,1,50,0,0.843676745891571,0.6747680902481079,0.71894371509552,0.9999585151672363,0.5400355458259583,0.3392857142857143,0.31785714285714284,
pt_att_l12_w16384,deception_roleplay,16381,49,1,56,0,0.831347644329071,0.551135241985321,0.6878133416175842,1.000035047531128,0.37216100096702576,0.2044642857142857,0.19107142857142856,
pt_att_l12_w16384,deception_roleplay,1721,50,1,36,0,0.8207276463508606,0.7990680932998657,0.8665763139724731,1.0002777576446533,1.000878930091858,0.5223214285714286,0.5473214285714286,
