sae_key,model_kind,site,layer,width,construct,selected_feature_ids,discovery_contrast,selection_contrast,confirmation_contrast,reconstruction_fvu
pt_res_l21_w16384,pretrained_sae_on_instruction_model,residual_post,21,16384,hedging_refusal,4893|12758|5463|7856|11222|15951,0.35177376555899775,0.27414463087916374,0.2996107488870621,0.12240745349959627
pt_res_l21_w16384,pretrained_sae_on_instruction_model,residual_post,21,16384,subjective_self_report,14638|15567|15278|6251|7305|4138,0.20851482450962067,0.26906450341145194,0.23468978703022003,0.12240745349959627
pt_res_l22_w16384,pretrained_sae_on_instruction_model,residual_post,22,16384,deception_roleplay,3599|5319|8671|14638|7561|2115,0.3831652837495009,0.35818103825052583,0.3676278218626976,0.12643685746970312
pt_res_l22_w16384,pretrained_sae_on_instruction_model,residual_post,22,16384,hedging_refusal,9247|15324|12609|5602|16298|6874,0.34432720889647805,0.34377289252976573,0.3550197519361973,0.12643685746970312
pt_res_l22_w16384,pretrained_sae_on_instruction_model,residual_post,22,16384,subjective_self_report,14638|1420|14964|9980|2517|6522,0.2081791336337725,0.23199417193730676,0.2342476323246956,0.12643685746970312
pt_res_l23_w16384,pretrained_sae_on_instruction_model,residual_post,23,16384,deception_roleplay,11830|4710|14340|6077|10128|12467,0.40777298746009666,0.3806919710089763,0.3861357119555275,0.19935461675817415
pt_res_l23_w16384,pretrained_sae_on_instruction_model,residual_post,23,16384,hedging_refusal,12467|12840|16290|6323|4500|11337,0.3770699082718541,0.3210431508099039,0.3415296468883753,0.19935461675817415
pt_res_l23_w16384,pretrained_sae_on_instruction_model,residual_post,23,16384,subjective_self_report,4253|10162|3367|4500|7345|11943,0.29047695787933964,0.36376448317120474,0.3166012614965439,0.19935461675817415
pt_res_l24_w16384,pretrained_sae_on_instruction_model,residual_post,24,16384,deception_roleplay,12081|11126|914|6938|7833|9741,0.4673979573417455,0.4238594830967486,0.4382169221450264,0.3326182942183275
pt_res_l24_w16384,pretrained_sae_on_instruction_model,residual_post,24,16384,hedging_refusal,970|5736|4058|3918|1405|14374,0.38804779667407274,0.3046424314379692,0.33067920229708153,0.3326182942183275
pt_res_l24_w16384,pretrained_sae_on_instruction_model,residual_post,24,16384,subjective_self_report,12868|11636|7570|14998|4305|2826,0.623458206653595,0.4565963291873535,0.5116748077174028,0.3326182942183275
pt_res_l25_w16384,pretrained_sae_on_instruction_model,residual_post,25,16384,deception_roleplay,75|11483|10004|14344|4183|8490,0.41268839147718006,0.3913508911306659,0.38900288877387845,0.2621325728394873
pt_res_l25_w16384,pretrained_sae_on_instruction_model,residual_post,25,16384,hedging_refusal,8551|8671|10437|3717|5533|15410,0.39164935424923897,0.29008279740810394,0.32700437431534135,0.2621325728394873
pt_res_l25_w16384,pretrained_sae_on_instruction_model,residual_post,25,16384,subjective_self_report,15688|9346|16148|3717|9200|8961,0.25923529888192814,0.27105141803622246,0.2517067790031433,0.2621325728394873
pt_res_l26_w16384,pretrained_sae_on_instruction_model,residual_post,26,16384,deception_roleplay,11843|14923|6265|14731|16193|8507,0.48412757009888685,0.42305794513473904,0.44640523327204085,0.37314423477588315
pt_res_l26_w16384,pretrained_sae_on_instruction_model,residual_post,26,16384,hedging_refusal,9519|8671|5993|12279|12555|14828,0.4024603741709143,0.3499870812520385,0.36806933923314017,0.37314423477588315
pt_res_l26_w16384,pretrained_sae_on_instruction_model,residual_post,26,16384,subjective_self_report,7001|5993|13970|1120|12412|5289,0.2845310599853595,0.33819986538340646,0.30053189769387245,0.37314423477588315
pt_res_l27_w16384,pretrained_sae_on_instruction_model,residual_post,27,16384,deception_roleplay,14579|9497|7345|12638|15504|3653,0.37052618122349185,0.3466952098533511,0.37115127065529424,0.32791074459034864
pt_res_l27_w16384,pretrained_sae_on_instruction_model,residual_post,27,16384,hedging_refusal,2532|6600|556|2649|15906|11334,0.323995071152846,0.3054516290624937,0.31251268833875656,0.32791074459034864
pt_res_l27_w16384,pretrained_sae_on_instruction_model,residual_post,27,16384,subjective_self_report,9395|2907|11858|15101|4018|5244,0.2204591762565542,0.17569623972910145,0.2142744204805543,0.32791074459034864
pt_res_l28_w16384,pretrained_sae_on_instruction_model,residual_post,28,16384,deception_roleplay,7233|4498|1811|7251|16116|15391,0.36174693144857883,0.3446155215303103,0.34796942956745625,0.3332075953187307
pt_res_l28_w16384,pretrained_sae_on_instruction_model,residual_post,28,16384,hedging_refusal,9349|1617|5993|4521|14215|5180,0.36417248969276744,0.37418194580823183,0.37035095288107794,0.3332075953187307
pt_res_l28_w16384,pretrained_sae_on_instruction_model,residual_post,28,16384,subjective_self_report,2738|3493|2936|2682|5993|9297,0.24262434248036396,0.23078212099305045,0.26386686613356386,0.3332075953187307
pt_res_l29_w16384,pretrained_sae_on_instruction_model,residual_post,29,16384,deception_roleplay,14579|7307|10647|10592|702|2183,0.4526533093691493,0.41455209798490006,0.41437944802843657,0.327727073036939
pt_res_l29_w16384,pretrained_sae_on_instruction_model,residual_post,29,16384,hedging_refusal,12893|739|15035|5993|6950|15574,0.45608823746442795,0.3887937429050604,0.4050024449825287,0.327727073036939
pt_res_l29_w16384,pretrained_sae_on_instruction_model,residual_post,29,16384,subjective_self_report,464|3057|3937|6697|15775|5993,0.226589928381145,0.30572661594487727,0.2721215261456867,0.327727073036939
pt_res_l2_w16384,pretrained_sae_on_instruction_model,residual_post,2,16384,deception_roleplay,16156|5829|475|4121|15809|15764,0.3911646546718354,0.303131518419832,0.3262358432014783,0.1633429513535203
pt_res_l2_w16384,pretrained_sae_on_instruction_model,residual_post,2,16384,hedging_refusal,9960|10913|12801|14878|2624|11646,0.3363062793553884,0.21408214668432873,0.2213845698473354,0.1633429513535203
pt_res_l2_w16384,pretrained_sae_on_instruction_model,residual_post,2,16384,subjective_self_report,9794|3956|10941|167|8486|6121,0.17472967084419602,0.12729429599130526,0.18618648165526488,0.1633429513535203
pt_res_l30_w16384,pretrained_sae_on_instruction_model,residual_post,30,16384,deception_roleplay,7233|3635|8114|4454|6517|2407,0.4584806690691039,0.4105826224355648,0.41305771796032786,0.33283060629521827
pt_res_l30_w16384,pretrained_sae_on_instruction_model,residual_post,30,16384,hedging_refusal,715|441|15710|15242|1437|4668,0.47572126922508085,0.4119423391918341,0.4347102058430513,0.33283060629521827
pt_res_l30_w16384,pretrained_sae_on_instruction_model,residual_post,30,16384,subjective_self_report,444|12202|10957|4588|15685|15242,0.22660672447333732,0.28993449767585844,0.2639371626622354,0.33283060629521827
